pdb_id,pdb_atom_index,pdb_atom_name,element,contact,possible_graph_indices
1KE6,0,N1,N,1,15
1KE6,1,C2,C,1,13
1KE6,2,C3,C,1,12
1KE6,3,C4,C,1,23
1KE6,4,C5,C,1,19
1KE6,5,C6,C,1,18
1KE6,6,C7,C,1,17
1KE6,7,C8,C,1,16
1KE6,8,C9,C,1,24
1KE6,9,O11,O,1,14
1KE6,10,N12,N,1,11
1KE6,11,S13,S,1,22
1KE6,12,C14,C,1,21
1KE6,13,N15,N,1,20
1KE6,14,N19,N,1,10
1KE6,15,C21,C,1,9
1KE6,16,C22,C,1,8;25
1KE6,17,C23,C,1,7;26
1KE6,18,C24,C,1,6
1KE6,19,C25,C,1,7;26
1KE6,20,C26,C,1,8;25
1KE6,21,C29,C,0,5
1KE6,22,S34,S,1,2
1KE6,23,O35,O,1,3;4
1KE6,24,O36,O,1,3;4
1KE6,25,N37,N,1,1
1KE6,26,C39,C,1,0
2HYY,0,C1,C,1,32
2HYY,1,C6,C,1,31
2HYY,2,C5,C,1,30
2HYY,3,C4,C,1,35
2HYY,4,N3,N,1,34
2HYY,5,C2,C,1,33
2HYY,6,C7,C,1,29
2HYY,7,C12,C,1,28
2HYY,8,C11,C,1,27
2HYY,9,N10,N,1,26
2HYY,10,C9,C,1,25
2HYY,11,N8,N,1,36
2HYY,12,N13,N,1,24
2HYY,13,C14,C,1,23
2HYY,14,C19,C,1,1
2HYY,15,C18,C,1,2
2HYY,16,C17,C,1,3
2HYY,17,C16,C,1,4
2HYY,18,C15,C,1,22
2HYY,19,N21,N,1,5
2HYY,20,C22,C,1,6
2HYY,21,C23,C,1,8
2HYY,22,C25,C,1,9;21
2HYY,23,C26,C,1,10;20
2HYY,24,C27,C,1,11
2HYY,25,C28,C,1,10;20
2HYY,26,C29,C,1,9;21
2HYY,27,C46,C,1,12
2HYY,28,N48,N,1,13
2HYY,29,C53,C,1,14;19
2HYY,30,C52,C,1,15;18
2HYY,31,N51,N,1,16
2HYY,32,C54,C,1,17
2HYY,33,C50,C,1,15;18
2HYY,34,C49,C,1,14;19
2HYY,35,O29,O,1,7
2HYY,36,C20,C,1,0
4RJ3,0,C4,C,1,3;28
4RJ3,1,C5,C,1,4;27
4RJ3,2,C11,C,1,8
4RJ3,3,C7,C,1,4;27
4RJ3,4,C8,C,1,3;28
4RJ3,5,C9,C,1,6
4RJ3,6,C12,C,1,9
4RJ3,7,C13,C,1,10
4RJ3,8,C3,C,1,2
4RJ3,9,C1,C,1,0
4RJ3,10,O2,O,1,1
4RJ3,11,N6,N,1,5
4RJ3,12,N10,N,1,7
4RJ3,13,N14,N,1,26
4RJ3,14,N15,N,1,11
4RJ3,15,C16,C,1,12
4RJ3,16,C17,C,1,13
4RJ3,17,C18,C,1,14
4RJ3,18,C19,C,1,15
4RJ3,19,C20,C,1,16
4RJ3,20,C21,C,1,17
4RJ3,21,N22,N,1,18
4RJ3,22,C23,C,1,19
4RJ3,23,C24,C,1,20;23
4RJ3,24,C25,C,1,21;22
4RJ3,25,C26,C,1,21;22
4RJ3,26,C27,C,1,20;23
4RJ3,27,C28,C,1,24
4RJ3,28,N29,N,1,25
4WKQ,0,CAO,C,1,26;30
4WKQ,1,CAL,C,1,27;29
4WKQ,2,OAU,O,1,28
4WKQ,3,CAM,C,1,27;29
4WKQ,4,CAP,C,1,26;30
4WKQ,5,NBE,N,1,25
4WKQ,6,CAN,C,1,24
4WKQ,7,CAJ,C,1,23
4WKQ,8,CAK,C,1,22
4WKQ,9,OAV,O,1,21
4WKQ,10,CBA,C,1,20
4WKQ,11,CAZ,C,1,2
4WKQ,12,CAH,C,1,3
4WKQ,13,OAT,O,1,1
4WKQ,14,CAA,C,1,0
4WKQ,15,CAI,C,1,19
4WKQ,16,C5,C,1,18
4WKQ,17,C4,C,1,4
4WKQ,18,N3,N,1,5
4WKQ,19,C2,C,1,6
4WKQ,20,N1,N,1,7
4WKQ,21,C6,C,1,8
4WKQ,22,NAS,N,1,9
4WKQ,23,CAY,C,1,10
4WKQ,24,CAG,C,1,17
4WKQ,25,CAX,C,1,15
4WKQ,26,CL,CL,1,16
4WKQ,27,CAW,C,1,13
4WKQ,28,FAB,F,1,14
4WKQ,29,CAD,C,1,12
4WKQ,30,CAE,C,1,11
6YOJ,0,C1,C,1,6
6YOJ,1,C2,C,1,5
6YOJ,2,C3,C,1,4
6YOJ,3,C10,C,1,0
6YOJ,4,C11,C,1,9
6YOJ,5,C13,C,1,11
6YOJ,6,C15,C,1,13
6YOJ,7,C19,C,1,29
6YOJ,8,N23,N,1,14
6YOJ,9,C24,C,1,15
6YOJ,10,C27,C,1,16
6YOJ,11,C30,C,1,21
6YOJ,12,C31,C,1,22
6YOJ,13,C32,C,1,23
6YOJ,14,C4,C,1,33
6YOJ,15,C5,C,1,8
6YOJ,16,C6,C,1,7
6YOJ,17,S7,S,1,1
6YOJ,18,O8,O,1,2;3
6YOJ,19,O9,O,1,2;3
6YOJ,20,N12,N,1,10
6YOJ,21,N14,N,1,12
6YOJ,22,N16,N,1,26
6YOJ,23,C17,C,1,27
6YOJ,24,C18,C,1,28
6YOJ,25,F20,F,1,30;31;32
6YOJ,26,F21,F,1,30;31;32
6YOJ,27,F22,F,1,30;31;32
6YOJ,28,C25,C,1,20
6YOJ,29,C26,C,1,17
6YOJ,30,C28,C,1,18
6YOJ,31,C29,C,1,19
6YOJ,32,N33,N,1,25
6YOJ,33,O34,O,1,24
