test_row,protein_length,affinity,compound_iso_smiles,target_sequence_sha256,archived_prediction,fresh_prediction,fresh_minus_archived
3726,215,11.1,C1CCOC2=CC(=C(C=C2NC(=O)NC3=CN=C(C(=N3)OCC1)C#N)Cl)OCCCO,feabc8446b38eabaabc0a48cb14d267357eac67b24b71ffc1835dd2abac6ab14,11.390406608581545,11.391441345214844,0.001034736633299005
3048,313,11.1,CC(=O)N1CCC(CC1)NC2=NC=C3CCC4=C(C3=N2)N(N=C4C(=O)N)C,c2d67004403cc5eab573dc776dd469ea460796b53c51aa5276867c8d25b04a46,11.20577907562256,11.205418586730957,-0.00036048889160333886
5608,350,11.1,CC(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=CC(=C(C=C4F)F)F,eb840b9a76dffec202e489f9b566ffb3d8c0e577c03d8128351c824c3950bca7,11.088141441345217,11.088471412658691,0.00032997131347478614
834,367,13.200015437,C1=CC(=CC=C1C2=CC(=CC(=C2O)CNC(=O)C(F)(F)F)NC3=NC=NC(=N3)N)Cl,84750c804b7bfaa9857850ecef23aee009e3c1326d30eacf3c7fdd4434940ae8,14.163080215454102,14.165688514709473,0.0026082992553710938
5671,400,11.500000186,C1=CC2=NC=C(C=C2C=C1C3=CC=NC=C3)O,679986c39e4cb9599dc08211bd0f7b4941586aff6eabbf20148fcc35d02c21f4,11.614246368408203,11.613086700439453,-0.00115966796875
1996,420,11.58148606,C1=CC(=CC(=C1)Cl)C2=CNNC2=C3C=C(N=C3)C(=O)NC(CO)C4=CC(=C(C=C4)F)Cl,2ca842f3e7a01314833c340d495dc171c89dca6271a7cf89edb90e6194b06fa3,11.50477695465088,11.506362915039062,0.0015859603881818174
5896,450,10.622878745,C1=CC(=CC(=C1)C(F)(F)F)C(=O)NC2=CC(=C(C=C2)Cl)C(=O)NC3=CC(=C(N=C3)N)Cl,7c626d67b7728183c647d3ec913c34061573b652086f8b9b634c7cfd9be034a0,11.427985191345217,11.429130554199219,0.00114536285400213
3030,473,11.900000875,C1=CC(=CC(=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N,528542a10fef0b8a0f93112ede0727889adc00b81a2b3f9391b82d79d775531a,11.952457427978516,11.953457832336426,0.0010004043579101562
1460,488,11.900000875,C1=CC2=C(C=C1C3=CC=NC=C3)N(C=C(C2=O)C(=O)N)C4=C(C=C(C=C4)O)Cl,58956edc77f669206b19d768b4e6e6d36a36d11d09aab0fbef799e909bdb039f,11.87975025177002,11.879955291748047,0.00020503997802734375
1400,509,13.1,C1=CC(=CC=C1C2=CSC3=C2C(=NC=C3C4=CN(N=C4)CCO)N)NC(=O)NC5=CC=C(C=C5)OC(F)F,7c2a7bcf3a9e687a4734d149429648beaeb58a4936962328b18c1fd4d5c90203,13.940874099731444,13.943495750427246,0.0026216506958025576
3376,543,10.685026652,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=CC3=CC(=CN=C3C=C2)C=CC(=O)N,346cb787e598f5e4716e72b52876c6d754b1a6dab9ed0f94e7677f3b5738d813,10.254868507385254,10.252457618713379,-0.002410888671875
1907,588,12.899998135,CC1=CC(=CC=C1)NC2=NC(=CN=C2C(=O)N)NC3CCCCC3N,dac286728e6e8f7fab2f5b0b3a3c663c7f04b01c5d8cd5872b6b184824e3c6f9,13.86244773864746,13.869253158569336,0.006805419921876776
4017,629,12.499996913,C1=CC=C(C(=C1)C(=O)O)NC2=NC(=NC=C2)NC3=CC=C(C=C3)[N+](=O)[O-],5bda1d18e5cf5b978cb1370cc64ed4f9a3a1129f104ea722fe7eccef5ec85ff1,13.019372940063477,13.02603816986084,0.006665229797363281
