outer_fold,row_index,inner_validation_fold
0,7,0
0,10,0
0,16,0
0,17,0
0,30,0
0,31,0
0,36,0
0,41,0
0,42,0
0,43,0
0,59,0
0,60,0
0,65,0
0,78,0
0,81,0
0,88,0
0,90,0
0,96,0
0,97,0
0,104,0
0,112,0
0,119,0
0,123,0
0,124,0
0,127,0
0,128,0
0,131,0
0,133,0
0,136,0
0,137,0
0,144,0
0,146,0
0,165,0
0,167,0
0,183,0
0,191,0
0,193,0
0,198,0
0,202,0
0,203,0
0,204,0
0,207,0
0,210,0
0,219,0
0,225,0
0,227,0
0,236,0
0,239,0
0,243,0
0,254,0
0,260,0
0,261,0
0,265,0
0,283,0
0,291,0
0,303,0
0,310,0
0,317,0
0,326,0
0,329,0
0,342,0
0,346,0
0,348,0
0,354,0
0,360,0
0,364,0
0,366,0
0,372,0
0,382,0
0,386,0
0,388,0
0,398,0
0,399,0
0,405,0
0,410,0
0,413,0
0,421,0
0,425,0
0,436,0
0,437,0
0,442,0
0,446,0
0,449,0
0,452,0
0,472,0
0,478,0
0,492,0
0,499,0
0,507,0
0,518,0
0,523,0
0,525,0
0,530,0
0,531,0
0,532,0
0,540,0
0,542,0
0,543,0
0,550,0
0,557,0
0,610,0
0,612,0
0,622,0
0,627,0
0,631,0
0,633,0
0,635,0
0,638,0
0,651,0
0,654,0
0,665,0
0,667,0
0,673,0
0,674,0
0,675,0
0,676,0
0,679,0
0,685,0
0,698,0
0,703,0
0,705,0
0,710,0
0,719,0
0,723,0
0,727,0
0,737,0
0,745,0
0,746,0
0,754,0
0,758,0
0,764,0
0,780,0
0,799,0
0,805,0
0,807,0
0,818,0
0,832,0
0,843,0
0,854,0
0,859,0
0,860,0
0,883,0
0,889,0
0,898,0
0,907,0
0,909,0
0,911,0
0,913,0
0,922,0
0,930,0
0,931,0
0,935,0
0,945,0
0,981,0
0,994,0
0,1004,0
0,1006,0
0,1021,0
0,1022,0
0,1026,0
0,1029,0
0,1031,0
0,1042,0
0,1045,0
0,1048,0
0,1050,0
0,1052,0
0,1056,0
0,1062,0
0,1067,0
0,1072,0
0,1077,0
0,1096,0
0,1100,0
0,1103,0
0,1105,0
0,1106,0
0,1109,0
0,1112,0
0,1115,0
0,1124,0
0,1135,0
0,1143,0
0,1151,0
0,1158,0
0,1174,0
0,1176,0
0,1180,0
0,1186,0
0,1191,0
0,1192,0
0,1197,0
0,1206,0
0,1207,0
0,1219,0
0,1223,0
0,1235,0
0,1242,0
0,1262,0
0,1263,0
0,1264,0
0,1265,0
0,1304,0
0,1305,0
0,1311,0
0,1318,0
0,1321,0
0,1330,0
0,1337,0
0,1340,0
0,1346,0
0,1354,0
0,1357,0
