field,archived,revalidated,difference,matches_within_tolerance
metrics.vina.auroc,0.648340579710145,0.648340579710145,0.0,True
metrics.vina.auprc,0.49331436115712224,0.49331436115712224,0.0,True
metrics.vina.bedroc20,0.4630321623678126,0.46304492503991257,1.2762672099986272e-05,False
metrics.vina.ef_1pct,0.9499999999975933,0.9499999999975933,0.0,True
metrics.vina.ef_5pct,1.0666666666639644,1.0666666666639644,0.0,True
metrics.vina.recovery_10pct,0.12666666666666668,0.1288888888888889,0.0022222222222222088,False
metrics.deepdta_ibam.auroc,0.8361376811594202,0.8361376811594202,0.0,True
metrics.deepdta_ibam.auprc,0.836050694779267,0.836050694779267,0.0,True
metrics.deepdta_ibam.bedroc20,0.9764378479469693,0.9764378479469691,-2.220446049250313e-16,True
metrics.deepdta_ibam.ef_1pct,2.5333333333269157,2.5333333333269157,0.0,True
metrics.deepdta_ibam.ef_5pct,2.466666666660418,2.466666666660418,0.0,True
metrics.deepdta_ibam.recovery_10pct,0.25,0.25,0.0,True
metrics.ecfp_nearest_active.auroc,0.9920398550724637,0.9920398550724637,0.0,True
metrics.ecfp_nearest_active.auprc,0.9923821594281512,0.9923821594281512,0.0,True
metrics.ecfp_nearest_active.bedroc20,0.9999197102605886,0.9999198893052227,1.7904463411877458e-07,False
metrics.ecfp_nearest_active.ef_1pct,2.5333333333269157,2.5333333333269157,0.0,True
metrics.ecfp_nearest_active.ef_5pct,2.5333333333269157,2.5333333333269157,0.0,True
metrics.ecfp_nearest_active.recovery_10pct,0.25333333333333335,0.25333333333333335,0.0,True
metrics.ecfp_full_panel_reference.auroc,0.9920398550724637,0.9920398550724637,0.0,True
metrics.ecfp_full_panel_reference.auprc,0.9923821594281512,0.9923821594281512,0.0,True
metrics.ecfp_full_panel_reference.bedroc20,0.9999197102605886,0.9999198893052227,1.7904463411877458e-07,False
metrics.ecfp_full_panel_reference.ef_1pct,2.5333333333269157,2.5333333333269157,0.0,True
metrics.ecfp_full_panel_reference.ef_5pct,2.5333333333269157,2.5333333333269157,0.0,True
metrics.ecfp_full_panel_reference.recovery_10pct,0.25333333333333335,0.25333333333333335,0.0,True
paired.vina_minus_model.delta_auroc_mean,-0.18795632957844982,-0.18795632957844982,0.0,True
paired.vina_minus_model.ci95[0],-0.23677493497096974,-0.23677493497096974,0.0,True
paired.vina_minus_model.ci95[1],-0.13893627487950674,-0.13893627487950674,0.0,True
paired.vina_minus_model.p_two_sided,0.0001,0.0001,0.0,True
paired.vina_minus_model.n_resamples,10000.0,10000.0,0.0,True
paired.ecfp_minus_model.delta_auroc_mean,0.15581420320714992,0.15581420320714995,2.7755575615628914e-17,True
paired.ecfp_minus_model.ci95[0],0.1254997188112039,0.1254997188112039,0.0,True
paired.ecfp_minus_model.ci95[1],0.18912511783053051,0.18912511783053051,0.0,True
paired.ecfp_minus_model.p_two_sided,0.0001,0.0001,0.0,True
paired.ecfp_minus_model.n_resamples,10000.0,10000.0,0.0,True
paired.ecfp_minus_vina.delta_auroc_mean,0.34377053278559977,0.34377053278559977,0.0,True
paired.ecfp_minus_vina.ci95[0],0.30473821078856894,0.30473821078856894,0.0,True
paired.ecfp_minus_vina.ci95[1],0.3846240181216319,0.3846240181216319,0.0,True
paired.ecfp_minus_vina.p_two_sided,0.0001,0.0001,0.0,True
paired.ecfp_minus_vina.n_resamples,10000.0,10000.0,0.0,True
generated_analogs.n_analogs_docked,56.0,56.0,0.0,True
generated_analogs.analog_mean_kcal,-8.363767857142857,-8.363767857142857,0.0,True
generated_analogs.analog_sd_kcal,0.3756833284984686,0.3756833284984686,0.0,True
generated_analogs.analog_best_kcal,-9.075,-9.075,0.0,True
generated_analogs.analog_median_kcal,-8.3775,-8.3775,0.0,True
generated_analogs.dasatinib_seed_kcal,-7.646,-7.646,0.0,True
generated_analogs.n_analogs_better_than_seed,55.0,55.0,0.0,True
generated_analogs.frac_analogs_better_than_seed,0.9821428571428571,0.9821428571428571,0.0,True
generated_analogs.mean_delta_vs_seed,-0.7177678571428574,-0.7177678571428574,0.0,True
docking_cost.median_seconds_per_ligand,103.80000000000001,103.80000000000001,0.0,True
docking_cost.mean_seconds_per_ligand,119.87736842105264,119.87736842105264,0.0,True
