role,ident,smiles
active,CHEMBL268868,O=c3[nH]c(=O)c4cc(Nc1ccccc1)c(Nc2ccccc2)cc34
active,CHEMBL470011,Fc5ccc(Nc3ncnc4nc(Nc2ccc(CN1CCCCC1)cc2)sc34)cc5Cl
active,CHEMBL7827,Oc3cc(O)c2c(=O)c(c1cccc(Cl)c1)coc2c3
active,CHEMBL337026,CN[C@H]1C[C@@H]4O[C@](C)([C@H]1OC)n3c2ccccc2c8c3c6n4c5ccccc5c6c7c(=O)[nH]c(=O)c78
active,CHEMBL193544,CN5CCC(Oc3cccc4ncnc(Nc2ccc(OCc1ccccn1)c(Cl)c2)c34)CC5
active,CHEMBL26641,COc3cc2c(Nc1ccc(Br)cc1F)ncnc2cc3OCCC4CCNCC4
active,CHEMBL372523,CCc5c(NC(=O)OCc1ccccc1)cn6ncnc(Nc4ccc3n(Cc2ccccc2)ncc3c4)c56
active,CHEMBL565714,CCC5=C1C(N=CN=C1Nc4ccc3n(Cc2ccccc2)ncc3c4)N=C5NC(=O)OCCN6CCNCC6
active,CHEMBL379001,COc4cc3CNc2c(N[C@H](C)c1ccccc1)ncnc2Nc3cc4OC
active,CHEMBL470219,Fc5ccc(Nc3ncnc4nc(Nc2ccc(CN1CCCC1)cc2)sc34)cc5Cl
active,CHEMBL433305,C1CCc3c(C1)[nH]c4ncnc(Nc2ccccc2)c34
active,CHEMBL1090357,CN(C)CCc6ccc(Nc5nccc(c3c(c2cccc(NC(=O)c1c(F)cccc1F)c2)nc4sccn34)n5)cc6
active,CHEMBL516979,COC[C@H]4Oc3cc2ncnc(Nc1cccc(I)c1)c2cc3O[C@@H]4COC
active,CHEMBL116547,COc3cc(\C=C(/C#N)C(=O)c1ccc(O)c(O)c1)cc(CSCc2ccccc2)c3O
active,CHEMBL508760,Clc5cc(Nc3ncnc4cc(C#C[C@@H]2C[C@@H](OC(=O)N1CCOCC1)CN2)sc34)ccc5OCc6cscn6
active,CHEMBL45827,CCN(CC)CCCCNc3ncc2cc(c1c(Cl)cccc1Cl)c(NC(=O)NC(C)(C)C)nc2n3
active,CHEMBL90541,COc4cc3ncnc(Nc2nnc1ccccc1n2)c3cc4OC
active,CHEMBL592466,Oc3ccc(CN(Cc1cccc(Cl)c1O)C(=S)Nc2ccccc2)cc3
active,CHEMBL522134,Cc3cccc(Cc1ncnc2ccc(NC(=O)C=C)cc12)c3
active,CHEMBL168366,Oc3ccc(O)c(CNc2ccc(O)c(C(=O)OCCc1ccccc1)c2)c3
active,CHEMBL53203,C=CC(=O)Nc4ccc3ncnc(Nc2ccc(Oc1ccccc1)cc2)c3c4
active,CHEMBL63356,Oc3cc2cc(c1cccnc1)cnc2cc3O
active,CHEMBL566337,CCC5=C1C(N=CN=C1Nc4ccc3n(Cc2ccccc2)ncc3c4)N=C5NC(=O)OCCn6ccnc6
active,CHEMBL1173655,CN(C)C/C=C/C(=O)Nc3cc2c(Nc1ccc(F)c(Cl)c1)ncnc2cc3O[C@H]4CCOC4
active,CHEMBL245996,COc5cc4ncc(C#N)c(N[C@@H]1C[C@H]1c3ccc(Oc2ccccc2)cc3)c4cc5OC
active,CHEMBL186580,COc4cc3ncnc(Nc2cc(NC(=O)c1ccccc1)c(F)cc2F)c3cc4OC
active,CHEMBL246687,N[C@H]6CCN(Cc4ccn5ncnc(Nc3ccc2n(Cc1cccc(F)c1)ncc2c3)c45)C6
active,CHEMBL135853,COc3cc2ncnc(Oc1cccc(Cl)c1)c2cc3OC
active,CHEMBL162981,Brc4cccc(Nc2ncnc3cnc(NCCCn1ccnc1)cc23)c4
active,CHEMBL312753,OCc5ccc(c4cc3ncnc(Nc2ccc1[nH]ccc1c2)c3s4)cc5
active,CHEMBL251125,CCOc4cc3ncnc(C#Cc1c[nH]nc1c2ccc(F)cc2)c3cc4OCC
active,CHEMBL387187,FC(F)(F)c4cccc(Nc3cc(Nc2cccc(NC(=O)C1CC1)c2)ncn3)c4
active,CHEMBL293749,Oc2ccc(\C=C(/C#N)C(=O)NCCc1ccccc1)cc2O
active,CHEMBL231875,Fc6cccc(Cn4ncc5cc(Nc2ncnn3ccc(CN1CCNCC1)c23)ccc45)c6
active,CHEMBL304442,O=C(CCCC(=O)Oc1ccc(/C=C/N(=O)=O)cc1)Oc2ccccc2
