id,MW,cLogP,HBD,HBA,RotB,charge
CHEMBL68920,383.814,4.450340000000002,3,4,3,0
CHEMBL304271,542.0150000000001,3.57442,5,7,10,0
CHEMBL136491,326.791,4.587100000000003,1,5,4,0
CHEMBL133024,312.76400000000007,4.435700000000002,2,5,4,0
CHEMBL137364,456.34800000000035,4.247200000000003,2,7,7,0
CHEMBL302552,511.9450000000004,2.895500000000001,4,7,7,0
CHEMBL67057,559.6300000000002,4.824820000000003,3,7,6,0
CHEMBL69629,525.9720000000001,3.203920000000001,4,7,7,0
CHEMBL66570,509.97300000000024,3.919620000000001,3,6,5,0
CHEMBL305194,413.7960000000001,3.8401200000000006,4,5,4,0
CHEMBL52765,315.17400000000004,3.7181000000000015,2,4,2,0
CHEMBL308645,441.8500000000001,4.1591200000000015,4,5,6,0
CHEMBL67003,560.6180000000002,4.219820000000002,3,8,6,0
CHEMBL134312,371.242,4.696200000000003,1,5,4,0
CHEMBL305246,495.9460000000001,3.5295200000000007,3,6,4,0
CHEMBL69966,497.5590000000004,2.3927199999999997,4,7,7,0
CHEMBL69358,511.9890000000001,4.213520000000002,4,6,9,0
CHEMBL137617,357.2150000000001,4.544800000000002,2,5,4,0
CHEMBL69071,509.97300000000024,3.9643200000000016,4,6,4,0
CHEMBL137534,414.3110000000001,4.476600000000003,2,6,7,0
CHEMBL424093,433.31300000000016,6.115200000000003,2,5,6,0
CHEMBL264382,602.6990000000002,4.4144200000000025,4,8,9,0
CHEMBL133023,306.3730000000001,4.2421200000000026,1,5,4,0
CHEMBL136674,401.2680000000001,4.561400000000003,2,6,7,0
CHEMBL138691,441.3330000000001,3.6115000000000013,1,6,7,0
CHEMBL139307,496.40900000000005,4.377200000000003,1,6,8,0
CHEMBL111197,427.2910000000001,5.054500000000003,1,6,4,0
CHEMBL136058,540.4220000000001,2.8641000000000005,3,8,9,0
CHEMBL545315,558.8690000000005,5.235100000000005,2,7,9,0
CHEMBL422292,442.2730000000001,3.588700000000001,2,7,6,0
CHEMBL327127,427.29100000000017,4.538200000000003,2,6,4,0
CHEMBL285063,369.22200000000004,4.260400000000002,2,4,4,0
CHEMBL136404,384.2370000000001,4.045500000000002,2,5,4,0
CHEMBL334697,384.2370000000001,3.679700000000002,1,5,4,0
CHEMBL434827,526.4390000000001,3.8737000000000013,3,7,11,0
CHEMBL137082,497.39700000000005,3.7722000000000024,1,7,8,0
