molecule_chembl_id,smiles,pchembl,standard_type,raw_cache_max_pchembl,reason_relative_to_raw_cache
CHEMBL1683967,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C(\F)C(=O)NCCN1CCCC1,8.52,IC50,,molecule absent from raw cache
CHEMBL1934628,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)s1,7.52,IC50,,molecule absent from raw cache
CHEMBL2048796,O=C1Cc2c(cccc2Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)N1,8.52,IC50,,molecule absent from raw cache
CHEMBL2420866,COc1ccc2c(c1)CCCN2c1nc(C)nc2ccccc12,8.3,IC50,,molecule absent from raw cache
CHEMBL310827,Cc1c[nH]c2ccc(Nc3ncnc4cc(-c5ccccc5)sc34)cc12,8.3,IC50,,molecule absent from raw cache
CHEMBL3233771,COCCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,8.3,IC50,5.98,raw cache maximum below 7
CHEMBL3676341,C=CC(=O)Nc1cc2c(Nc3cc(Cl)c(Cl)cc3F)ncnc2cc1OCCNC(C)=O,8.3,IC50,,molecule absent from raw cache
CHEMBL3758939,C[C@@H](Nc1ncnc2sc(-c3cccc(C(N)=O)c3)cc12)c1ccccc1,8.3,IC50,,molecule absent from raw cache
CHEMBL3759615,CC1(C)OCc2c(Nc3n[nH]c4c(F)cccc34)nc(-c3cn[nH]c3)nc21,8.52,KI,,molecule absent from raw cache
CHEMBL3759986,OCc1cccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2)c1,8.52,IC50,,molecule absent from raw cache
CHEMBL380889,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,7.3,IC50,,molecule absent from raw cache
CHEMBL3930810,C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3OC)ncc2C(F)(F)F)c1,7.7,IC50,,molecule absent from raw cache
CHEMBL3961848,C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(C=C)c4)ncnc3cc2OC)CC1,8.52,IC50,,molecule absent from raw cache
CHEMBL3966111,C=CC(=O)NCCCn1c(NC(=O)c2cccc(C(F)(F)F)c2)nc2cc(C)ccc21,7.3,IC50,6.28,raw cache maximum below 7
CHEMBL4078023,Cc1nc(C)c(/C=C2\CN(C)C/C(=C\c3nc(C)c(C)nc3C)C2=NO)nc1C,7.7,IC50,,molecule absent from raw cache
CHEMBL4226676,CN(C)C1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n(C5CCOCC5)c4n3)cc2)CC1,8.8,IC50,6.98,raw cache maximum below 7
CHEMBL4435233,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCOCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1,8.3,IC50,,molecule absent from raw cache
CHEMBL4749862,COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.22,IC50,,molecule absent from raw cache
CHEMBL4752026,Cc1nc(N2CCC3(CC2)CO[C@@H](C)[C@H]3N)c(CO)nc1-c1cccc(Cl)c1Cl,8.1,IC50,,molecule absent from raw cache
CHEMBL4790655,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1)c1ccccc1F,8.52,IC50,,molecule absent from raw cache
CHEMBL5183664,C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)CC1,7.7,IC50,,molecule absent from raw cache
CHEMBL5208065,CN1CCN(c2ccc(-c3ccc4ccn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3)cc2)CC1,8.3,IC50,,molecule absent from raw cache
CHEMBL5284486,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,7.7,IC50,,molecule absent from raw cache
CHEMBL5290340,COc1cc2c(Nc3ccc(Oc4ccccc4F)cc3)ncnc2cc1OCC1CCN(C)CC1,7.7,IC50,,molecule absent from raw cache
CHEMBL5398817,CN(C)CCn1ccc2cc(Nc3nccc(-c4sc(NS(=O)(=O)C5CCCCC5)nc4-c4ccc(F)cc4)n3)ccc21,7.7,IC50,,molecule absent from raw cache
CHEMBL5408900,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccc4c(ccn4CCN(C)C)c3)n2)s1,7.7,IC50,,molecule absent from raw cache
CHEMBL5416252,CCS(=O)(=O)N1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)s2)CC1,8.1,IC50,,molecule absent from raw cache
CHEMBL542484,COc1cc2ncnc(Nc3ccccc3)c2cc1OC.Cl,7.3,IC50,,molecule absent from raw cache
CHEMBL5630852,c1ccc(-c2cc(N3Cc4ccccc4C3)nc3ccccc23)cc1,8.1,IC50,6.91,raw cache maximum below 7
CHEMBL5630913,Cc1cc(N2CCN(C(c3ccccc3)c3ccccc3)CC2)nc2ccc(Cl)cc12,8.1,IC50,6.87,raw cache maximum below 7
CHEMBL5740396,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(C)(C)C)CC2)NN1,8.52,IC50,,molecule absent from raw cache
CHEMBL5742327,COC[C@H]1CCN1C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.8,IC50,,molecule absent from raw cache
CHEMBL5744898,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(=O)N(C)C)CC2)NN1,8.52,IC50,,molecule absent from raw cache
CHEMBL5751543,Cc1nc2cccc([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C(F)(F)F)CC4)NN3)c2s1,8.3,IC50,,molecule absent from raw cache
CHEMBL5755363,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C45CC(C4)C5)NN3)c3cccc4ncccc34)cc12,8.52,IC50,,molecule absent from raw cache
CHEMBL5763337,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4(C(F)(F)F)CC4)NN3)c3cccc4ccncc34)cc12,8.52,IC50,,molecule absent from raw cache
CHEMBL5766704,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(CC(F)F)NN1,8.52,IC50,,molecule absent from raw cache
CHEMBL5766959,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4(C)CC4)NN3)c3cccc4ncccc34)cc12,8.3,IC50,,molecule absent from raw cache
CHEMBL5770970,Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3[C@H]3C[C@H](O)C[C@H](O)C3)ccn2)cn1,8.52,IC50,6.27,raw cache maximum below 7
CHEMBL5782322,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(=O)O)CC2)NN1,8.52,IC50,,molecule absent from raw cache
CHEMBL5787019,CC(C)(C)CNc1c(C#N)cnc2c(C#N)cc(N[C@H](C3=CN(CC(F)(F)F)NN3)c3cccc4ncsc34)cc12,8.3,IC50,,molecule absent from raw cache
CHEMBL5793602,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C45CC(C4)C5)NN3)c3ccc(F)c4ncccc34)cc12,8.52,IC50,,molecule absent from raw cache
CHEMBL5809639,C=CC(=O)Nc1cc(Nc2ncc(F)c(-c3cnn(C)c3)n2)c(OC)cc1N1CCC(N(C)C)CC1,8.1,IC50,6.99,raw cache maximum below 7
CHEMBL5812558,COc1ccc([C@H](Nc2cc(Cl)c3ncc(C#N)c(NCC(C)(C)C)c3c2)C2=CN(C3(C(F)F)CC3)NN2)c(C)n1,8.3,IC50,,molecule absent from raw cache
CHEMBL5813513,COc1nccc2c([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C(F)(F)F)c4c3)C3=CN(C4(C(F)F)CC4)NN3)cccc12,8.52,IC50,,molecule absent from raw cache
CHEMBL5818903,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(=O)N(C)C)CC2)NN1,8.3,IC50,,molecule absent from raw cache
CHEMBL5834938,CCN1CCC(N2C=C([C@@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)c3ccsc3)NN2)CC1,8.52,IC50,,molecule absent from raw cache
CHEMBL5842538,CC(C)(C)CNc1c(C#N)cnc2c(C#N)cc(N[C@H](C3=CN(C4(C(F)(F)F)CC4)NN3)c3cccc4cnc(C#N)cc34)cc12,8.1,IC50,,molecule absent from raw cache
CHEMBL5849866,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4(C(F)F)CC4)NN3)c3cccc4cnccc34)cc12,8.52,IC50,,molecule absent from raw cache
CHEMBL5860901,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4CC4)NN3)ccnc21,8.52,IC50,,molecule absent from raw cache
CHEMBL5863443,COc1ccncc1-c1cc(C(=O)/N=c2\[nH]c3cc(CN4CCOCC4)ccc3n2[C@H]2CC[C@@H](O)CC2)cc(C#N)n1,8.52,IC50,5.85,raw cache maximum below 7
CHEMBL5863579,CC(C)N1C=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c2csc3c2CCNC3)NN1,8.52,IC50,,molecule absent from raw cache
CHEMBL5870210,O=C(/N=c1\[nH]c2ccccc2n1[C@H]1CC[C@@H](O)CC1)c1ccnc(-c2cccnc2F)c1,7.7,IC50,6.02,raw cache maximum below 7
CHEMBL5870511,Cc1ncsc1C(Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2CC2)NN1,8.52,IC50,,molecule absent from raw cache
CHEMBL5872217,Cn1cnc([C@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)C2=CN(C3CCN(C(C)(C)C)CC3)NN2)c1,7.52,IC50,,molecule absent from raw cache
CHEMBL5878893,CC(C)(C)N1CCC(N2C=C([C@@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)c3cncs3)NN2)CC1,8.1,IC50,,molecule absent from raw cache
CHEMBL5881803,Cn1ccc2c([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C(F)F)CC4)NN3)ccnc21,8.3,IC50,,molecule absent from raw cache
CHEMBL5882592,CCc1ncccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)F)CC2)NN1,8.52,IC50,,molecule absent from raw cache
CHEMBL5903491,Cc1ncccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(Nc3ccc(Cl)c(Cl)c3F)c2c1)C1=CN(C2CCN(C(C)(C)C)CC2)NN1,8.1,IC50,,molecule absent from raw cache
CHEMBL5903857,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C#N)CCC2)NN1,8.3,IC50,,molecule absent from raw cache
