key,molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,type_upper,type_rank
CHEMBL1089203,CHEMBL1089203,CHEMBL1089203,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,IC50,=,14.0,nM,7.85,CHEMBL1105217,IC50,2
CHEMBL1614725,CHEMBL1614725,CHEMBL1614725,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,IC50,=,1.0,nM,9.0,CHEMBL3636784,IC50,2
CHEMBL2087361,CHEMBL2087361,CHEMBL2087361,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,IC50,=,1.23,nM,8.91,CHEMBL5732711,IC50,2
CHEMBL3353410,CHEMBL3353410,CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,=,0.02,nM,10.7,CHEMBL4670929,IC50,2
CHEMBL3545360,CHEMBL3545360,CHEMBL3545360,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1,IC50,=,86.0,nM,7.07,CHEMBL5665055,IC50,2
CHEMBL3936761,CHEMBL3936761,CHEMBL3936761,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,IC50,=,2.4,nM,8.62,CHEMBL5135834,IC50,2
CHEMBL405130,CHEMBL555201,CHEMBL405130,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC.Cl,IC50,=,100.0,nM,7.0,CHEMBL676160,IC50,2
CHEMBL5188399,CHEMBL5188399,CHEMBL5188399,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3cccc(NC(=O)c4c(F)ccc(O)c4CN4C(=O)c5ccccc5C4=O)c3)ccn2)c1,IC50,=,2.0,nM,8.7,CHEMBL5155237,IC50,2
CHEMBL535,CHEMBL535,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,IC50,=,31.8,nM,7.5,CHEMBL4398934,IC50,2
CHEMBL5632436,CHEMBL5632436,CHEMBL5632436,Cn1nccc1-c1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2[nH]1,IC50,=,69.0,nM,7.16,CHEMBL5629495,IC50,2
CHEMBL587723,CHEMBL587723,CHEMBL587723,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,IC50,=,2.0,nM,8.7,CHEMBL1920033,IC50,2
CHEMBL598797,CHEMBL598797,CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,IC50,=,2.4,nM,8.62,CHEMBL5215094,IC50,2
CHEMBL6160966,CHEMBL6160966,CHEMBL6160966,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3cccc(NC(=O)c4cccc(O)c4CN4Cc5ccccc5C4=O)c3)ccn2)c1,IC50,=,1.2,nM,8.92,CHEMBL6096540,IC50,2
CHEMBL941,CHEMBL941,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,=,0.11,nM,9.96,CHEMBL5216306,IC50,2
