id,MW,cLogP,HBD,HBA,RotB,charge
ZINCf50000008zWj,204.23300000000003,-0.6317800000000002,2,3,3,0
ZINCf50000008zWl,204.23300000000003,-0.6317800000000002,2,3,3,0
ZINCf50000008zWn,204.233,-0.6317800000000002,2,3,3,0
ZINCf50000008zWC,209.249,-0.4750999999999994,2,2,2,0
ZINCf50000008zWF,211.26099999999997,-0.1345,1,3,4,0
ZINCf50000008zX7,212.29299999999995,-0.31389999999999957,2,3,6,0
ZINCf50000008zX9,232.30499999999998,-0.6887999999999987,2,3,5,0
ZINCf50000008zXi,213.27699999999996,-0.10459999999999992,3,3,5,0
ZINCf50000008zXn,208.26099999999997,-0.10190000000000049,2,2,3,0
ZINCf50000008zXs,207.233,0.39089999999999997,3,3,3,0
ZINCf50000008zXx,212.24899999999997,-0.43590000000000056,3,3,2,0
ZINCf50000008zXF,208.26099999999994,-0.007300000000000084,1,2,2,0
ZINCf50000008zY2,211.265,-0.08499999999999963,2,3,4,0
ZINCf50000008zYb,210.27699999999996,-0.46530000000000027,1,3,2,0
ZINCf50000008zYd,218.20299999999997,-0.10430000000000023,2,2,3,0
ZINCf50000008zYs,210.27699999999993,-0.15339999999999998,1,3,3,0
ZINCf50000008zYu,213.23299999999995,-0.2960000000000005,1,4,5,0
ZINCf50000008zYx,212.29299999999998,-0.1729999999999996,2,3,5,0
ZINCf50000008zYL,207.233,-0.028900000000000203,3,3,3,0
ZINCf50000008zYR,209.24899999999997,-0.46199999999999924,2,2,2,0
ZINCf50000008zYX,211.265,-0.16809999999999947,3,2,3,0
ZINCf50000008zZ2,207.233,-0.028900000000000203,3,3,3,0
ZINCf50000008zZ5,208.26099999999994,-0.007300000000000084,1,2,2,0
ZINCf50000008zZq,208.26099999999997,-0.0057000000000007045,1,2,4,0
ZINCf50000008zZM,206.24499999999995,-0.25170000000000026,1,2,1,0
ZINCf50000008A09,208.26099999999994,-0.0057000000000007045,1,2,4,0
ZINCf50000008A0k,211.26099999999994,-0.08500000000000019,2,3,7,0
ZINCf50000008A0t,229.30099999999993,-0.04930000000000012,1,3,5,0
ZINCf50000008A0y,204.23299999999998,-0.12320000000000064,2,3,4,0
ZINCf50000008A0z,204.233,-0.19230000000000058,1,4,4,0
ZINCf50000008A0G,211.26099999999994,-0.08660000000000045,2,3,6,0
ZINCf50000008A0N,208.21699999999996,-0.3756000000000004,2,3,3,0
ZINCf50000008A0W,210.27699999999993,-0.3842000000000003,3,3,4,0
ZINCf50000008A1e,204.23299999999995,-0.15530000000000066,1,4,3,0
ZINCf50000008A1l,208.26099999999997,-0.11230000000000073,2,3,2,0
ZINCf50000008A1p,210.23299999999995,-0.46419999999999995,1,3,4,0
ZINCf50000008A1r,208.26099999999994,-0.007300000000000528,1,2,3,0
ZINCf50000008A1V,209.24499999999995,-0.3342000000000007,2,3,2,0
ZINCf50000008A2d,209.17999999999998,-0.954,1,3,1,0
ZINCf50000008A2f,212.224,-0.3515999999999999,0,2,2,0
ZINCf50000008A2q,214.19599999999997,-0.4739,1,3,2,0
ZINCf50000008A2r,215.22399999999996,-0.16690000000000005,0,3,5,0
ZINCf50000008A2M,212.17999999999998,-0.7215,1,3,1,0
ZINCf50000008A2N,211.19199999999995,-0.2667999999999999,0,3,1,0
ZINCf50000008A2P,213.16399999999996,-0.2945,0,4,1,0
ZINCf50000008A2V,213.20799999999994,-0.6785000000000003,1,3,1,0
ZINCf50000008A2X,212.22399999999996,-0.3183999999999998,1,2,3,0
ZINCf50000008A3h,208.196,-0.08958000000000022,1,3,1,0
ZINCf50000008A3k,208.196,-0.38759999999999994,0,4,1,0
ZINCf50000008A3J,232.27999999999994,-0.015900000000000025,0,2,2,0
ZINCf50000008A3P,230.22400000000002,-0.8494999999999999,1,4,2,0
ZINCf50000008A3U,228.27299999999994,-0.4774000000000005,1,3,1,0
ZINCf50000008A3W,216.18699999999993,-0.3503000000000007,2,2,3,0
ZINCf50000008A41,205.21699999999993,-0.4656000000000009,2,3,2,0
ZINCf50000008A43,207.23299999999995,-0.7210999999999996,2,2,2,0
ZINCf50000008A47,209.24899999999997,-0.28310000000000035,3,2,5,0
ZINCf50000008A4c,230.28899999999996,-0.7923000000000002,2,3,5,0
ZINCf50000008A4d,230.28899999999993,-0.6628999999999996,2,3,4,0
ZINCf50000008A4e,205.22099999999998,-0.5857000000000008,2,4,4,0
ZINCf50000008A4f,204.233,-0.049800000000000955,1,4,4,0
ZINCf50000008A4n,224.28499999999994,-0.19869999999999988,1,3,3,0
ZINCf50000008A4t,227.28499999999994,-0.15440000000000031,1,3,4,0
ZINCf50000008A4w,226.30099999999993,-0.12300000000000044,2,3,5,0
ZINCf50000008A4G,208.21699999999996,-0.23310000000000075,2,3,3,0
ZINCf50000008A4P,204.23299999999995,-0.049800000000000955,1,4,3,0
ZINCf50000008A4T,205.22099999999998,-0.6548000000000007,1,5,3,0
ZINCf50000008A4V,205.22099999999998,-0.7364800000000005,1,5,3,0
ZINCf50000008A4W,206.20899999999997,-1.0807000000000007,2,4,1,0
ZINCf50000008A4Z,210.23299999999992,-0.1757000000000004,2,3,3,0
ZINCf50000008A52,208.21699999999993,-0.2331000000000003,2,3,2,0
ZINCf50000008A55,209.24899999999994,-0.2847000000000002,3,2,3,0
ZINCf50000008A5b,211.21699999999993,-0.5436000000000003,1,4,4,0
ZINCf50000008A5k,206.24499999999995,-0.20540000000000047,2,2,2,0
ZINCf50000008A5l,206.24499999999995,-0.20540000000000047,2,2,2,0
ZINCf50000008A5u,208.21699999999996,-0.23310000000000075,2,3,2,0
ZINCf50000008A5v,208.21699999999996,-0.28100000000000036,1,3,2,0
ZINCf50000008A5A,208.21699999999996,-0.23470000000000013,2,3,2,0
ZINCf50000008A5M,205.21699999999998,-0.2749000000000006,3,3,3,0
ZINCf50000008A5W,206.24499999999995,-0.2533000000000005,1,2,2,0
ZINCf50000008A6D,206.24899999999997,-0.24610000000000087,2,4,3,0
ZINCf50000008A6E,233.28899999999993,-0.3095000000000001,1,4,6,0
ZINCf50000008A6F,233.2889999999999,-0.9194999999999995,2,4,7,0
ZINCf50000008A6T,225.27299999999997,-0.13580000000000014,1,4,3,0
ZINCf50000008A72,209.24499999999995,-0.38210000000000033,1,3,2,0
ZINCf50000008A7b,209.24499999999995,-0.7886000000000004,2,3,2,0
ZINCf50000008A7c,209.24499999999995,-0.38210000000000033,1,3,2,0
ZINCf50000008A7u,209.24499999999995,-0.14400000000000035,2,3,4,0
ZINCf50000008A7J,211.26099999999997,-0.35220000000000073,3,3,4,0
ZINCf50000008A7Q,211.26099999999997,-0.3522000000000003,3,3,4,0
ZINCf50000008A7U,211.26099999999997,-0.3522000000000003,3,3,4,0
ZINCf50000008A87,209.24499999999998,-0.5998000000000006,3,3,2,0
ZINCf50000008A8g,209.24499999999995,-0.5020000000000004,2,3,1,0
ZINCf50000008A8y,213.277,-0.8101999999999998,3,4,3,0
ZINCf50000008A8C,213.277,-0.8118000000000001,3,4,3,0
ZINCf50000008A98,207.22899999999996,-0.4603999999999999,1,3,1,0
ZINCf50000008A9c,208.21699999999996,-0.6423000000000003,1,4,1,0
ZINCf50000008A9Y,206.201,-0.5764000000000005,1,4,2,0
ZINCf50000008Aa2,205.217,-0.9104000000000003,1,4,2,0
ZINCf50000008Aa9,212.24899999999997,-0.5891999999999997,2,3,3,0
ZINCf50000008Aac,210.23299999999995,-0.2825000000000002,2,3,3,0
ZINCf50000008Aag,224.245,-0.2501,2,5,1,0
ZINCf50000008AaO,209.24499999999995,-0.23960000000000026,1,3,1,0
ZINCf50000008AaV,209.24499999999995,-0.3820999999999999,1,3,3,0
ZINCf50000008Abg,211.26099999999997,-0.4000999999999999,2,3,3,0
ZINCf50000008Abv,209.24499999999992,-0.23800000000000043,1,3,1,0
ZINCf50000008AbF,226.25699999999998,-0.9820999999999998,2,4,1,0
ZINCf50000008AbI,209.24499999999995,-0.3820999999999999,1,3,3,0
ZINCf50000008AbJ,209.24499999999995,-0.38210000000000033,1,3,1,0
ZINCf50000008AbK,209.24499999999995,-0.3820999999999999,1,3,3,0
ZINCf50000008Ac0,205.217,-0.46177999999999986,2,3,1,0
ZINCf50000008Ac1,206.201,-0.19687999999999972,1,4,1,0
ZINCf50000008Acf,205.217,-0.46177999999999964,2,3,1,0
ZINCf50000008Acg,206.201,-0.1968799999999995,1,4,1,0
ZINCf50000008Acl,203.20100000000002,-0.7033,1,4,1,0
ZINCf50000008Acr,270.086,-0.007699999999999985,2,3,1,0
ZINCf50000008AcL,210.277,-0.4669000000000001,1,3,3,0
ZINCf50000008AcS,210.277,-0.4189999999999996,2,3,4,0
ZINCf50000008Ad1,212.249,-0.9237999999999993,1,4,4,0
ZINCf50000008Adv,241.23399999999995,-0.06519999999999992,1,3,3,0
ZINCf50000008Adz,205.26100000000002,-0.35750000000000015,1,4,3,0
ZINCf50000008AdE,213.27699999999996,-0.8118000000000001,3,4,4,0
ZINCf50000008AdW,207.27299999999994,-0.051200000000000134,1,3,2,0
ZINCf50000008Aeu,207.22899999999998,-0.048199999999999965,2,4,3,0
ZINCf50000008Aew,203.245,-0.15630000000000005,2,4,2,0
ZINCf50000008AeD,205.26099999999997,-0.09158000000000022,1,4,2,0
ZINCf50000008AeY,207.23299999999998,-0.18809999999999993,1,5,3,0
ZINCf50000008Af1,249.71899999999994,-0.2324999999999997,1,3,3,0
ZINCf50000008Af8,235.27999999999992,-0.2542000000000002,1,3,5,0
ZINCf50000008Afa,233.28899999999993,-0.9673999999999998,1,4,5,0
ZINCf50000008AfE,208.26099999999994,-0.7129000000000001,1,3,2,0
ZINCf50000008AfG,208.26099999999997,-0.6429999999999993,2,3,4,0
ZINCf50000008Agb,208.21699999999996,-0.2941000000000007,1,3,2,0
ZINCf50000008Agk,225.26899999999995,-0.0730000000000004,1,4,2,0
ZINCf50000008Agl,206.20499999999998,-0.05690000000000017,0,6,3,0
ZINCf50000008Ago,208.21699999999996,-0.28100000000000036,1,3,2,0
ZINCf50000008AgS,204.233,-0.19390000000000085,1,4,3,0
ZINCf50000008AgZ,230.28899999999996,-0.8085999999999989,2,3,3,0
ZINCf50000008Ah5,207.23299999999998,-0.8041999999999991,3,2,2,0
ZINCf50000008Ahk,227.28499999999994,-0.2985000000000002,1,3,2,0
ZINCf50000008Ahn,209.24499999999992,-0.07020000000000026,1,3,2,0
ZINCf50000008Ahq,211.261,-0.3538000000000001,3,3,3,0
ZINCf50000008Ahv,206.20499999999998,-0.3762300000000003,3,4,2,0
ZINCf50000008AhE,207.27700000000002,-0.3036000000000001,3,4,2,0
ZINCf50000008AhG,207.277,-0.03800000000000042,2,4,3,0
ZINCf50000008AhI,207.277,-0.03800000000000042,2,4,2,0
ZINCf50000008AhK,207.27700000000002,-0.3036000000000001,3,4,2,0
ZINCf50000008AhN,226.261,-0.5052000000000003,2,4,3,0
ZINCf50000008AhZ,205.26099999999997,-0.02862000000000009,1,3,3,0
ZINCf50000008Ai7,206.24499999999995,-0.3958000000000004,1,2,2,0
ZINCf50000008Aia,202.21299999999994,-0.049120000000000275,0,3,1,0
ZINCf50000008Aih,225.26899999999995,-0.5671999999999999,0,3,1,0
ZINCf50000008Aio,208.26099999999997,-0.00570000000000026,1,2,4,0
ZINCf50000008AiJ,208.26099999999994,-0.00570000000000026,1,2,4,0
ZINCf50000008AiV,206.24499999999995,-0.2533,1,2,2,0
ZINCf50000008Aj7,209.24499999999995,-0.38050000000000006,1,3,2,0
ZINCf50000008Ajg,205.22099999999998,-0.9268799999999999,0,5,2,0
ZINCf50000008AjF,208.26099999999994,-0.5913999999999993,0,3,1,0
ZINCf50000008AjS,229.30099999999996,-0.24129999999999963,0,3,3,0
ZINCf50000008AjZ,208.26099999999997,-0.007300000000000084,1,2,3,0
ZINCf50000008Akl,207.22899999999996,-0.1129,0,3,2,0
ZINCf50000008Akm,204.22899999999996,-0.25731999999999977,1,3,1,0
ZINCf50000008Akp,208.21699999999996,-0.42510000000000026,1,3,1,0
ZINCf50000008AkA,205.21699999999998,-0.16910000000000003,1,4,1,0
ZINCf50000008AkI,205.21699999999996,-0.16910000000000003,1,4,1,0
ZINCf50000008Al7,232.30499999999995,-0.559399999999999,2,3,5,0
ZINCf50000008Alf,207.23299999999998,-0.21959999999999996,2,3,3,0
ZINCf50000008Alg,229.30099999999996,-0.050899999999999945,1,3,3,0
ZINCf50000008Alk,213.23299999999995,-0.5600000000000003,2,4,5,0
ZINCf50000008Alp,232.30499999999998,-0.41849999999999893,2,3,4,0
ZINCf50000008AlG,211.265,-0.03869999999999957,3,3,4,0
ZINCf50000008AlQ,207.23299999999998,-0.3091000000000001,2,2,3,0
ZINCf50000008AlR,208.21699999999996,-0.8176999999999996,2,3,6,0
ZINCf50000008AlU,207.22899999999996,-0.7209000000000001,2,3,4,0
ZINCf50000008AlX,206.24499999999998,-0.3461000000000003,2,2,5,0
ZINCf50000008AlY,227.28499999999997,-0.43759999999999954,1,3,5,0
ZINCf50000008Am1,204.22899999999998,-0.5937000000000001,2,2,4,0
ZINCf50000008Am6,229.30099999999996,-0.03259999999999996,1,3,7,0
ZINCf50000008Amj,210.27699999999993,-0.10550000000000037,2,3,4,0
ZINCf50000008Amk,213.27699999999993,-0.4983000000000002,3,4,5,0
ZINCf50000008Amm,232.30499999999995,-0.38729999999999953,2,3,4,0
ZINCf50000008Amr,210.277,-0.41739999999999977,2,3,3,0
ZINCf50000008Amw,210.27699999999996,-0.28959999999999986,2,3,3,0
ZINCf50000008AmC,230.289,-0.7107999999999988,1,3,4,0
ZINCf50000008AmJ,211.261,-0.3985000000000001,2,3,4,0
ZINCf50000008AmM,209.24899999999997,-0.33099999999999974,2,2,4,0
ZINCf50000008AmR,212.249,-0.026200000000000445,2,3,7,0
ZINCf50000008AmS,213.277,-0.10300000000000009,3,3,7,0
ZINCf50000008An6,213.233,-0.2583000000000007,3,3,7,0
ZINCf50000008Anw,210.233,-0.5158000000000003,3,3,5,0
ZINCf50000008Anx,233.29299999999998,-0.7828999999999986,2,3,6,0
ZINCf50000008Ao4,233.289,-0.11770000000000008,1,4,7,0
ZINCf50000008Aob,213.233,-0.25830000000000025,3,3,7,0
ZINCf50000008Aof,213.233,-0.25830000000000025,3,3,7,0
ZINCf50000008Aol,210.233,-0.2974000000000002,2,3,5,0
ZINCf50000008Aon,210.277,-0.023999999999999244,1,3,5,0
ZINCf50000008AoQ,211.26500000000001,-0.035499999999999254,3,3,7,0
ZINCf50000008AoT,228.27700000000002,-0.21270000000000033,0,6,5,0
ZINCf50000008AoU,228.277,-0.271,1,5,5,0
ZINCf50000008Ap1,210.277,-0.28800000000000003,2,3,4,0
ZINCf50000008Ape,210.277,-0.024000000000000132,1,3,5,0
ZINCf50000008Apg,210.277,-0.024000000000000132,1,3,5,0
ZINCf50000008Apu,207.27700000000002,-0.20579999999999993,2,2,3,0
ZINCf50000008Apx,230.289,-0.22980000000000023,1,3,3,0
ZINCf50000008Apz,214.23999999999995,-0.008200000000000207,2,2,6,0
ZINCf50000008ApA,228.31699999999998,-0.004799999999999693,2,3,6,0
ZINCf50000008ApC,209.24899999999997,-0.2830999999999999,3,2,5,0
ZINCf50000008ApF,208.26099999999997,-0.00570000000000026,1,2,4,0
ZINCf50000008ApG,209.24899999999997,-0.4734999999999996,2,2,4,0
ZINCf50000008Aq4,206.249,-0.0051000000000002155,2,4,5,0
ZINCf50000008Aqg,208.26099999999997,-0.005699999999999816,1,2,4,0
ZINCf50000008Aqn,210.23299999999998,-0.033400000000000096,1,3,4,0
ZINCf50000008AqB,229.30099999999996,-0.04929999999999968,1,3,4,0
ZINCf50000008AqD,209.249,-0.4603999999999994,2,2,4,0
ZINCf50000008AqJ,207.233,0.2689,2,4,4,0
ZINCf50000008AqV,227.289,-0.31042000000000014,1,3,5,0
ZINCf50000008Ara,208.221,-0.06188000000000038,0,6,5,0
ZINCf50000008Ars,230.33299999999997,-0.024599999999999733,0,3,5,0
ZINCf50000008ArG,228.27700000000002,-0.6079000000000003,1,4,4,0
ZINCf50000008ArH,229.26500000000001,-1.2128999999999996,1,5,4,0
ZINCf50000008Brn,214.26499999999996,-0.3163999999999998,2,4,9,0
ZINCf50000008ArR,241.25899999999996,-0.053200000000000025,2,3,7,0
ZINCf50000008As2,233.28899999999996,-0.3079000000000003,1,4,6,0
ZINCf50000008As9,232.30499999999998,-0.4168999999999991,2,3,7,0
ZINCf50000008Asi,233.289,-0.11929999999999996,1,4,6,0
ZINCf50000008Asj,232.30499999999998,-0.4168999999999991,2,3,7,0
ZINCf50000008Asw,207.23299999999998,-0.011600000000000277,0,5,3,0
ZINCf50000008AsE,230.289,-0.27769999999999984,0,3,2,0
ZINCf50000008AsL,230.28899999999993,-0.7107999999999988,1,3,4,0
ZINCf50000008AsO,209.24899999999994,-0.5213999999999992,1,2,3,0
ZINCf50000008AsT,232.30499999999998,-0.5925999999999987,1,3,6,0
ZINCf50000008At0,208.26099999999997,-0.00570000000000026,1,2,5,0
ZINCf50000008At8,212.29299999999998,-0.21929999999999938,1,3,6,0
ZINCf50000008Atn,210.23299999999995,-0.03340000000000032,1,3,3,0
ZINCf50000008AtL,210.23299999999998,-0.03499999999999992,1,3,3,0
ZINCf50000008AtV,213.23299999999995,-0.3062000000000003,2,3,6,0
ZINCf50000008AtW,207.233,-0.0752000000000001,2,3,4,0
ZINCf50000008Au0,208.26099999999994,-0.005699999999999761,1,2,3,0
ZINCf50000008Au8,209.24899999999997,-0.5082999999999991,1,2,3,0
ZINCf50000008Aub,208.26099999999997,-0.007300000000000084,1,2,3,0
ZINCf50000008Auc,208.26099999999997,-0.007300000000000084,1,2,3,0
ZINCf50000008Auf,208.26099999999997,-0.005699999999999761,1,2,3,0
ZINCf50000008Auh,205.217,0.2775,1,4,3,0
ZINCf50000008Aum,210.27699999999993,-0.19969999999999977,0,3,4,0
ZINCf50000008Aut,230.33299999999997,-0.02299999999999991,0,3,5,0
ZINCf50000008AuM,206.25300000000004,-0.8481599999999989,4,4,4,0
ZINCf50000008AuS,234.32099999999994,-0.23549999999999893,0,3,7,0
ZINCf50000008AuV,232.30499999999992,-0.48149999999999893,0,3,4,0
ZINCf50000008Ave,222.16599999999997,-0.11409999999999976,1,2,3,0
ZINCf50000008Avi,207.23299999999998,-0.26590000000000025,1,3,4,0
ZINCf50000008Avj,229.30099999999996,-0.09719999999999973,0,3,4,0
ZINCf50000008Avp,207.237,-0.45510000000000006,0,5,5,0
ZINCf50000008AvY,234.32099999999997,-0.7533999999999981,1,4,8,0
ZINCf50000008Aw0,215.29299999999998,-0.03460000000000041,1,4,9,0
ZINCf50000008Aw7,215.293,-0.30019999999999997,2,4,8,0
ZINCf50000008Awc,208.21699999999996,-0.5450000000000002,2,3,2,0
ZINCf50000008Awd,210.23299999999995,-0.033400000000000096,1,3,4,0
ZINCf50000008Awv,210.27699999999993,-0.024000000000000243,1,3,5,0
ZINCf50000008Awy,209.29299999999995,-0.4972999999999985,1,3,4,0
ZINCf50000008AwB,210.27699999999996,-0.19969999999999977,0,3,4,0
ZINCf50000008AwC,211.26499999999996,-0.9557999999999987,1,4,4,0
ZINCf50000008AwM,230.33299999999994,-0.02299999999999991,0,3,4,0
ZINCf50000008AwV,207.233,-0.7542999999999991,1,3,2,0
ZINCf50000008AwX,210.277,-0.2012999999999996,0,3,3,0
ZINCf50000008Ax9,210.27699999999996,-0.15339999999999998,1,3,6,0
ZINCf50000008Axf,210.277,-0.4190000000000005,2,3,3,0
ZINCf50000008Axh,211.26099999999997,-0.13290000000000024,1,4,4,0
ZINCf50000008Axk,206.24899999999997,-0.5792999999999999,0,5,2,0
ZINCf50000008Axp,211.26099999999997,-0.13450000000000006,1,4,3,0
ZINCf50000008AxA,222.16599999999994,-0.19560000000000038,2,2,3,0
ZINCf50000008AxB,224.245,-0.3839000000000006,2,5,3,0
ZINCf50000008AxG,207.237,-0.4523000000000008,1,5,4,0
ZINCf50000008AxP,207.23299999999995,-0.26590000000000025,1,3,4,0
ZINCf50000008Ayb,212.24899999999997,-0.769299999999999,1,3,6,0
ZINCf50000008Ayk,207.233,-0.061600000000000765,1,4,5,0
ZINCf50000008Ayn,225.277,-0.5583000000000005,1,6,5,0
ZINCf50000008Ayu,229.30099999999993,-0.04929999999999968,1,3,4,0
ZINCf50000008AyE,211.26499999999996,-0.21279999999999966,2,2,5,0
ZINCf50000008AyH,211.265,-0.21439999999999948,2,2,4,0
ZINCf50000008AyT,209.24899999999997,-0.16069999999999984,1,2,2,0
ZINCf50000008Azi,216.21199999999996,-0.18000000000000016,2,3,5,0
