zinc_id,smiles,source,source_tranche
ZINCf50000008K7A,CC(=O)NCCC(=O)NNCC1CCC1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008EIs,C=C1CC[C@@H]1NS(=O)(=O)c1cnn(C)n1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008E5c,C=C(C)CNC(=O)C1CC(=O)NC(=O)C1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008G2N,C=CCNC(=N)NC[C@H]1CCCNC1=O,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008AhE,C#CC1CC(NC2=NC[C@@H]([C@@H](C)O)N2)C1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008AAr,C#CCCNC(=O)[C@H]1CNC(=O)C[C@@H]1C,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008Iuh,C=C[C@H](O)C(=O)NCCc1cn(C)nn1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008BeX,C#CCN(CCOC)C(=O)c1cnn[nH]1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008I0y,C=C[C@H](CO)NCC(=O)NCCOCC,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008A0N,C#CC1(C(=O)NC[C@@H]2CNC(=O)O2)CC1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008F6J,C=C1C[C@H]1CNS(=O)(=O)c1nnn(C)n1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008KVj,CC(=O)OCC#CCN1C(=O)COC1=O,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008CQQ,C#CC[C@@H]1CCN(C(=O)CNC(C)=O)C1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008ExF,C=C(CO)CSc1nnnn1CCOC,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008Dg5,C#C[C@@H](CO)NC1=NC[C@H](CCSC)N1,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008IG1,C=C[C@](C)(O)C(=O)NC[C@H](O)COCC,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
ZINCf50000008H29,C=CC[C@H](CO)NC(=O)N[C@H](C)CCN,Local ZINC tranches,ZINC_DIP2A_Activators/H15/H15M000.smi.gz
