generator,smiles,valid,tanimoto,QED,SA,lipinski_pass,MW,cLogP,AlertFree,LipinskiPass,PredAffinity
diffusion,CCNC1CCN(C2=NC(C)=CN(Cn3ccc(C(=O)Cc4c(C)ccnc4C)n3)O2)CC1,1,0.15178571428571427,0.6478241278011265,3.598439081404666,1,451.57500000000033,2.8162400000000005,1,1,11.731433868408203
diffusion,C=C(Cc1c(C)ccnc1N)c1ncc(Cc2cc(C)nc(N3CCN(CCC)CO3)c2)o1,1,0.17699115044247787,0.5539936441559096,3.7125962008809354,1,448.5710000000003,3.931440000000003,1,1,10.603601455688477
diffusion,C=C(Cc1c(C)cncc1C)c1ccn(Cc2cc(C)nc(N3CCC(NCC)CN3)n2)c1,1,0.1391304347826087,0.5521647724687846,4.0621676842389185,1,445.6150000000002,3.595360000000001,1,1,11.781936645507812
diffusion,C=C(Cc1c(C)ccnc1C)n1ccc(Cc2cc(C)nc(C3NCC(COC)CN3)c2)c1,1,0.12280701754385964,0.5495054596999028,3.7369713236305255,1,445.61100000000016,3.961560000000002,1,1,11.064059257507324
diffusion,C=C(CN1C(C)=CC=CN1C)c1coc(Cc2cc(C)cc(C3NCC(CCC)NN3)c2)c1,1,0.08196721311475409,0.548320416605268,4.732397807252187,1,447.6270000000001,4.636620000000003,1,1,11.596221923828125
diffusion,C=C(Cc1c(C)cccc1C)n1cc(Cc2cc(C)nc(C3CCC(NCC)NC3)c2)nn1,1,0.1504424778761062,0.5420557063853605,4.219269656679353,1,444.6270000000002,4.3051600000000025,1,1,11.855378150939941
diffusion,C=C(Cc1c(C)cnnc1N)n1ccc(Cc2cc(C)cc(N3CCC(NCC)CC3)c2)c1,1,0.14035087719298245,0.540127812913075,3.338306675512686,1,444.6270000000003,4.359640000000003,1,1,11.65125560760498
diffusion,C=C(Cc1c(C)cccc1C)c1ccn(Cc2cc(C)nc(C3CNC(CCN)CO3)c2)c1,1,0.14912280701754385,0.5372607627157298,4.121518756515688,1,444.6230000000002,4.490860000000002,1,1,11.04384708404541
diffusion,CCNC1CNC(c2nc(C)cc(Cc3ccn(C(=O)NC4=C(C)OC=CN4C)c3)n2)NC1,1,0.1565217391304348,0.522684399681266,4.095817968475042,1,452.56300000000016,1.5267200000000003,1,1,11.503137588500977
diffusion,C=C(Cc1c(C)cncc1C)c1ccn(Cc2nc(C)cc(C3CNC(CCC)NN3)n2)c1,1,0.12173913043478261,0.48988050934634225,4.5083611460410555,1,445.6150000000001,3.767260000000001,1,1,10.883962631225586
diffusion,CCNN1CCC(c2cc(C)cc(Nc3ccn(C(=O)Cc4c(C)cccc4C)c3)c2)CN1,1,0.17592592592592593,0.4849133152661794,3.817357373273288,1,445.6110000000002,4.858260000000004,1,1,11.007946014404297
diffusion,C=C(Nc1c(C)ncnc1C)n1ccc(Cc2cc(C)cc(C3CNC(CCC)CN3)c2)c1,1,0.13392857142857142,0.46841001283700695,4.237285859625345,1,444.62700000000024,4.737060000000004,1,1,10.949841499328613
diffusion,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1,1.0,0.46571730609788475,2.649762485659984,1,488.01700000000034,3.3135400000000015,1,1,11.269414901733398
diffusion,C=C(Cc1c(C)ccnc1N)c1coc(Cc2cc(C)cc(C3CCC(CCO)NC3)c2)c1,1,0.1271186440677966,0.4574037820364515,4.043587005288192,1,445.6070000000002,4.938340000000005,1,1,11.26478099822998
diffusion,C=C(Cc1c(C)ccnc1C)N1C=CN(Cc2nc(C)cc(N3CCC(CCN)OO3)n2)O1,1,0.1391304347826087,0.6003268350356757,4.709478322536791,1,453.5470000000003,2.7793600000000005,0,1,11.137504577636719
diffusion,CNCC1CCN(c2cc(C)cc(Cn3cnc(C(=N)Cc4c(C)cccc4C)c3)n2)CC1,1,0.22330097087378642,0.5084661207421256,3.0840515200298704,1,444.62700000000024,4.298030000000004,0,1,10.92827320098877
