Metric,Mean,SD
AUPRC,0.021097379552103085,0.018230956301027404
AUROC,0.6667820641282565,0.007819277249043103
BEDROC20,0.07585814836213572,0.0018844957159112716
EF10pct,1.4,0.22360679774997896
EF1pct,5.0,0.0
EF5pct,1.0,0.0
f1_10pct,0.005490196078431373,0.0008768894029410941
f1_1pct,0.016666666666666666,0.0
f1_5pct,0.0038461538461538455,4.84869951806108e-19
precision_10pct,0.0028000000000000004,0.00044721359549995795
precision_1pct,0.01,0.0
precision_5pct,0.002,0.0
recall_10pct,0.13999999999999999,0.022360679774997894
recall_1pct,0.05,0.0
recall_5pct,0.05,0.0
recovery_top_10pct,0.13999999999999999,0.022360679774997894
recovery_top_1pct,0.05,0.0
recovery_top_5pct,0.05,0.0
