Metric,Mean,SD
AUPRC,0.8062002688273125,0.014560351511309385
AUROC,0.9961573146292585,0.0005381633774273464
BEDROC20,0.9419336081363546,0.00701864936672886
EF10pct,10.0,0.0
EF1pct,85.0,0.0
EF5pct,20.0,0.0
f1_10pct,0.0392156862745098,0.0
f1_1pct,0.2833333333333334,0.0
f1_5pct,0.07692307692307693,0.0
precision_10pct,0.02,0.0
precision_1pct,0.17,0.0
precision_5pct,0.04,0.0
recall_10pct,1.0,0.0
recall_1pct,0.85,0.0
recall_5pct,1.0,0.0
recovery_top_10pct,1.0,0.0
recovery_top_1pct,0.85,0.0
recovery_top_5pct,1.0,0.0
