Rank,zinc_id,smiles,NearestAnchor,NearestAnchorTanimoto,PredAffinity,PathDistance,CombinedScore,QED,SA,LipinskiPass,AlertFree
1,ZINCi500000c8vtF,Oc1nncn1N=Cc1cnc(C2OCCO2)s1,CHEMBL5271803,0.1206896551724138,11.818888664245605,0.44531676173210144,3.1114415883009374,0.8071355867921189,3.79647783528074,1,0
2,ZINCj6000002mmyC,NC1(C(=O)N2CCC[C@H](CN3CCOCC3)C2)CC1,GEFITINIB,0.12643678160919541,11.7612943649292,0.49776944518089294,2.7933310325037897,0.7847265738252318,2.8978289375207993,1,1
3,ZINCf6000000b7au,CCCN(C)CCN1CCS(=O)(=O)CC1,CHEMBL6054692,0.13095238095238096,12.021079063415527,0.5600411295890808,2.743566466609776,0.6742850647076729,2.524292593475586,1,1
4,ZINCf7000000bqB0,C#CCN1CCN([C@@H]2CCC[C@@H]2O)CC1,POZIOTINIB,0.08045977011494253,12.12401294708252,0.5909034609794617,2.693106179599203,0.6544776106787399,3.240920330168887,1,0
5,ZINCi60000010vpq,CN1CCC[C@H]1CN1CCC(OCC(N)=O)CC1,POZIOTINIB,0.14772727272727273,11.837268829345703,0.5471787452697754,2.6237995953325104,0.7537916430500334,2.8601655557348025,1,1
6,ZINCk5000003VAyo,CC(C)(CN1CCOCC1)NC(=O)[C@H](O)CCC(=O)O,GEFITINIB,0.16666666666666666,11.704619407653809,0.5208175778388977,2.6222084651759068,0.5805852416587773,2.946582968874898,1,1
7,ZINCk5000003VM6m,CC(C)N(C)C[C@@H](O)CN1CCOC[C@@H]1C(=O)N(C)C,CHEMBL5271803,0.1415929203539823,11.786619186401367,0.5435788035392761,2.591073853948438,0.7120915135152638,3.4476392743501574,1,1
8,ZINCj8000002pP9B,CC[C@@H](N)CN1CCC[C@H](C(=O)N2CCOCC2)C1,GEFITINIB,0.13636363636363635,11.21231460571289,0.446350634098053,2.5002216399329766,0.7970275494438953,2.9872988859568697,1,1
9,ZINCf8000000bTgg,CC(C)(O)CN1CCO[C@]2(CCOC2)C1,CHEMBL6054692,0.1348314606741573,11.752307891845703,0.563679575920105,2.456938126424575,0.7166981215971596,3.9291282716316447,1,1
10,ZINCf8000000bQkW,C#CCN1C[C@H](C)[C@H](N2CCOCC2)C1,GEFITINIB,0.1375,11.659585952758789,0.5493580102920532,2.435434571320555,0.6059646319362073,3.6082684518146824,1,0
