name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id
(S)-(+)-DIMETHINDENE,CHEMBL564226,C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,,9.4,0.4,Ki,ChEMBL,H1_ACTIVE_000
ZOTEPINE,CHEMBL285802,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,,9.21,0.62,Ki,ChEMBL,H1_ACTIVE_001
DIMETHINDENE,CHEMBL22108,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,3.0,9.16,0.6918,Ki,ChEMBL,H1_ACTIVE_002
DESLORATADINE,CHEMBL1172,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,4.0,9.01,0.97,Ki,ChEMBL,H1_ACTIVE_003
KETOTIFEN FUMARATE,CHEMBL1633,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,,9.0,1.0,IC50,ChEMBL,H1_ACTIVE_004
CLOZAPINE,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,,8.96,1.1,Ki,ChEMBL,H1_ACTIVE_005
AMITRIPTYLINE,CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,,8.95,1.12,Ki,ChEMBL,H1_ACTIVE_006
OLANZAPINE,CHEMBL715,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,,8.92,1.2,Ki,ChEMBL,H1_ACTIVE_007
PYRILAMINE,CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,4.0,8.89,1.3,Alpha;EC50;IC50;Ki,ChEMBL,H1_ACTIVE_008
TRIPROLIDINE,CHEMBL855,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,4.0,8.8,1.6,Activity;Ki,ChEMBL,H1_ACTIVE_009
MIRTAZAPINE,CHEMBL654,CN1CCN2c3ncccc3Cc3ccccc3C2C1,,8.8,1.6,Ki,ChEMBL,H1_ACTIVE_010
ASTEMIZOLE,CHEMBL296419,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,4.0,8.52,3.0,Ki,ChEMBL,H1_ACTIVE_011
RUPATADINE,CHEMBL91397,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,4.0,8.41,3.9,IC50,ChEMBL,H1_ACTIVE_012
CETIRIZINE,CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4.0,8.23,5.89,Ki,ChEMBL,H1_ACTIVE_013
FEXOFENADINE,CHEMBL914,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,4.0,7.57,27.0,IC50;Ki,ChEMBL,H1_ACTIVE_014
LORATADINE,CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.0,7.43,37.0,IC50;Ki,ChEMBL,H1_ACTIVE_015
TRIPELENNAMINE,CHEMBL1241,CN(C)CCN(Cc1ccccc1)c1ccccn1,4.0,7.4,39.81,Alpha;IC50;Ki,ChEMBL,H1_ACTIVE_016
TERFENADINE,CHEMBL17157,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,4.0,7.4,40.0,Ki,ChEMBL,H1_ACTIVE_017
LEVOCETIRIZINE DIHYDROCHLORIDE,CHEMBL1201190,Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,4.0,7.3,50.0,Ki,ChEMBL,H1_ACTIVE_018
CHLORPHENIRAMINE,CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,4.0,7.18,66.0,IC50,ChEMBL,H1_ACTIVE_019
,,CC1(CCNC(=O)C(=O)NC[C@@H]2C[C@H]3CC[C@H]32)CC1,,,,,,ZINCjk00000AivMm
,,Cc1ccc(C#N)cc1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)[C@@H](C)O,,,,,,ZINCo400000HFAhi
,,Fc1cc2[nH]cc(CN[C@@H]3CCCOC3)c2cc1F,,,,,,ZINCjx00000eU9In
,,CCC=CC=CC(=O)N[C@H](CC1CCC1)C(=O)N1CCSCC[C@@H]1C,,,,,,ZINCpF00000sVrEZ
,,CSc1ccnc(N2CC[C@](CO)(CNC(=O)[C@H]3CCCSC3)C2)n1,,,,,,ZINCpm00001BP6Kd
,,CSc1ccnc(N2CCC[C@@H](CNC(=O)C[C@@H]3CCC(=O)N3)C2)n1,,,,,,ZINCpi00001BP6K4
,,CC[C@H](C)C[C@@H](C)C(=O)N1CCC[C@@H]1CNC(=O)c1ccnnc1Cl,,,,,,ZINCpz000005RGEk
,,COC1CC(N=c2[nH]c(N3CC[C@@H](c4ccccc4)C3)nc(=N)[nH]2)C1,,,,,,ZINCpq00000CF5r9
,,CSc1ccnc(N2CC[C@](C)(NC(=O)[C@H]3C[C@H]4O[C@@H]3[C@@H]3C[C@H]43)C2)n1,,,,,,ZINCpn00001BP6Ka
,,Cc1cccc(Cl)c1COC(=O)[C@H](F)[C@@H]1CCC(=O)N1C,,,,,,ZINClw00000nlpop
,,CSc1ccnc(N2CC3(CCN(C(=O)[C@@H]4[C@@H]5CCOC[C@H]54)C3)C2)n1,,,,,,ZINCpl00001BP6JP
,,CC1=C(CNC(=O)N2CC[C@@H]3[C@@H](O)C(C)(C)[C@@H]32)SCCO1,,,,,,ZINCln00000AivMv
,,CCc1ncc(S(=O)(=O)N[C@H](CC)CNC(=O)[C@@H]2C[C@H]2C#N)s1,,,,,,ZINCng00001A1dJG
,,CCN1CC[C@@H]1CNC(=O)[C@@]1(CO)CCN(C(=O)C(=O)NC2CC2)C1,,,,,,ZINCp4000015MdZr
,,CCN1CC[C@@H]1CNC(=O)C1(N(C)C(=O)[C@@H]2CC(C3CC3)=NO2)CC1,,,,,,ZINCpd000015MdZz
,,COC[C@@H](CC(=O)N1CCC[C@H]2COC[C@H]21)NC(=O)/C=C/C(F)F,,,,,,ZINCof00000HT9I1
,,CCN1CC[C@H]1CNC(=O)c1c[nH]nc1CCNC(=O)C1=COCC1,,,,,,ZINCp7000015MdZk
,,Fc1cc2[nH]cc(CCN[C@@H]3CCOC3)c2cc1F,,,,,,ZINCjt00000eU9Ih
,,CC[C@H](C)C[C@@H](C)C(=O)NC[C@H]1CCCCN1C(=O)[C@H](OC)C1CC1,,,,,,ZINCpz000005RH0G
,,C[C@H](NC(=O)[C@@H]1C[C@]1(F)Cl)C(C)(C)C(=O)N1C[C@H]2CCCC[C@H]21,,,,,,ZINCny00000r2mEt
,,C=C1CC(NC(=O)C(=O)N2CC[C@@H]3NC(=O)NC[C@H]3C2)C1,,,,,,ZINCl500000AivMa
,,COC1CC(Nc2[nH]c(=NC[C@H]3CSCCS3)nc3c2cnn3C)C1,,,,,,ZINCps00000CF5rh
,,Cc1cc(NC(=O)N2C[C@@H]3[C@H](C2)CS3(=O)=O)nc(C)c1Br,,,,,,ZINCln00000AivMA
,,CC1(C)C=C(C(=O)N[C@H]2C[C@H]2CNC(=O)c2cnc3sccc3c2)C1,,,,,,ZINCpy00000oyTme
,,CSC1CC(N(C)C(=O)[C@H](CN(C)C)NC(=O)Cc2csc(C)n2)C1,,,,,,ZINCpj00001BP6Jw
,,CSC1CC(N(C)C(=O)[C@H](NC(=O)[C@H](O)C(C)(C)C)[C@H]2CCOC2)C1,,,,,,ZINCpi00001BP6JB
,,COC[C@@H](CC(=O)N1CCC[C@H](C)[C@@H]1CO)NC(=O)C1(SC)CC1,,,,,,ZINCog00000HT9I9
,,Fc1cc2[nH]cc(CNC[C@@H]3CCCS3)c2cc1F,,,,,,ZINCjE00000eU9Il
,,CC(C(=O)N1[C@H](C)C[C@@H]1C(=O)N[C@H]1C[C@]2(CCCO2)C1)=C1CCC1,,,,,,ZINCot00000sXlz7
,,CCN1CC[C@H]1CNC(=O)CCC1(C)CN(C(=O)c2cncnc2)C1,,,,,,ZINCpf000015Me04
,,C=C1CC(C(=O)NC[C@@H](C)CN(C)C(=O)c2c(F)cccc2F)C1,,,,,,ZINCox0000027Kyc
,,COc1cc(N=c2[nH]c(CNC(=O)[C@H]3C[C@H]3C(N)=O)cs2)ccc1Cl,,,,,,ZINCps00000CF5r6
,,CC[C@H](C)C[C@@H](C)C(=O)N[C@@H](C)CNC(=O)CCc1c(C)noc1C,,,,,,ZINCpz000005RH3M
,,Cc1cc(NC(=O)CS(=O)(=O)C23CC(C2)C3)cc(O)c1C,,,,,,ZINClp00000AivMr
,,Cc1cc(=NC(=O)CN2C[C@@H]3CCO[C@]3(CO)C2)[nH]o1,,,,,,ZINCk600000AivM2
,,CCN1CC[C@@H]1CNC(=O)C1(F)CN(C(=O)C[C@H]2CC[C@H](C)CO2)C1,,,,,,ZINCpf000015MdZw
,,COC1CC(N=c2[nH]c3c(c(=NC[C@]4(OC)CCSC4)[nH]2)COC3)C1,,,,,,ZINCpq00000CF5r1
,,CCN(CCCNC(=O)CC(Cl)Cl)C(=O)C12CCC(CC1)CC2,,,,,,ZINCnF00000llstd
,,Cc1ccc(CN(C)c2nc(=N)nc(N3CCO[C@H](CO)C3)[nH]2)o1,,,,,,ZINCo700000HFAhv
,,O=C(N[C@H]1CCO[C@@H](C2CC2)C1)c1cc(Cl)ncc1O,,,,,,ZINCkr000000jLoZ
,,O=C(NCc1ccc(CCNC(=O)[C@H]2CC[C@H]2F)cc1)C1=CCCC1,,,,,,ZINCpy00000oyTsM
,,Cc1ccc(C#N)cc1NC(=O)[C@H](CO)NC(=O)[C@]12COC[C@H]1C2,,,,,,ZINCo900000HFAhp
,,CC1(C)CN(C(=O)C(=O)N2CC[C@@H]3[C@@H](O)C[C@@H]32)C[C@@H]1CN,,,,,,ZINCl500000AivM6
,,CCN1CC[C@@H]1CNC(=O)C1(NC(=O)CCCC(=O)N(C)C)CSC1,,,,,,ZINCp6000015MdZF
,,CCN(CCCNC(=O)CC(Cl)Cl)C(=O)c1cccc(Cl)c1C,,,,,,ZINCnI00000llstf
,,CC[C@H](C)C[C@@H](C)C(=O)NCC[C@@H]1CCCN(C(=O)C2(OC)CC2)C1,,,,,,ZINCpz000005RGSW
,,C=CC1CC(N=c2[nH]c(N3CCN(C)CC3)nc3c2COCC3)C1,,,,,,ZINCom00000t6fIE
,,Cc1ccc(C#N)cc1NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]1CCO1,,,,,,ZINCo500000HFAho
,,COC[C@@H](C)C(=O)N1CCC[C@@H](CC(=O)NCCOC(C)=O)CC1,,,,,,ZINCof00000HT9Ig
,,C=CCCCCC(=O)N[C@@H](CC1CCC1)C(=O)N1CCSC[C@@H](C)C1,,,,,,ZINCpG00000sVrF1
,,C[C@H](NC(=O)[C@H]1C[C@@]1(F)Cl)C(C)(C)C(=O)N1CCC2(CSC2)C1,,,,,,ZINCnu00000r2mEs
,,Cc1nc(-c2ccsc2)ccc1C(=O)N1C[C@@]2(C)C[C@@]2(C(=O)O)C1,,,,,,ZINCoA0000087TsN
,,CSc1ccnc(N2CCC(CO)(CNC(=O)C(SC)SC)CC2)n1,,,,,,ZINCpp00001BP6Kg
,,COC[C@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@H]1CCCN(C2CC2)C1,,,,,,ZINCog00000HT9HS
,,C#Cc1ccc(C(=O)N2CCC[C@H]2[C@@H](C)NC(=O)[C@H](C)C2CCC2)o1,,,,,,ZINCpy00000oyToY
,,Cc1nc(-c2ccnc(-n3cccc3)c2)n(C[C@@H]2CCCCO2)n1,,,,,,ZINCoA0000087Tpn
,,COc1c(CN=c2ncnc(N(C)C[C@H](C)C(C)C)[nH]2)c(C)nn1C,,,,,,ZINCps00000CF5qW
,,Cc1ccc(C#N)cc1C(=O)NOCC(=O)NCCNS(N)(=O)=O,,,,,,ZINCo400000HFAhj
,,COC[C@@]1(C)COCCN1C(=O)COCCc1ccc(Cl)s1,,,,,,ZINCms000000DBdQ
,,Cc1nocc1C(=O)NC1CC(NS(=O)(=O)Cc2ccccc2)C1,,,,,,ZINCoj00000opcNw
,,COC1CC(N=c2[nH]c(N(C)Cc3ocnc3C)nc3c2COC3)C1,,,,,,ZINCpq00000CF5re
,,CCN1CC[C@@H]1CNC(=O)c1cnn(CCNC(=O)CCCOC)c1,,,,,,ZINCp8000015MdZn
,,CCN1CC[C@@H]1CNC(=O)C(C)(C)CCNC(=O)C1CN(C(C)=O)C1,,,,,,ZINCp8000015Me0c
,,CC(C(=O)N1[C@H](C)C[C@@H]1C(=O)NCC[C@H]1C[C@@H](O)C1)=C1CCCC1,,,,,,ZINCor00000sXlz4
,,Cc1cc(NC(=O)C(=O)N2CC[C@H](O)[C@H]2C)ncc1Br,,,,,,ZINCkg00000AivMb
,,CC1=C(C(=O)N[C@H](C)C2CCNCC2)C(S(N)(=O)=O)=C(C)O1,,,,,,ZINCmc00000fJPCC
,,CCc1ncc(S(=O)(=O)N[C@H](C)CNC(=O)C[C@H](C)C(F)F)o1,,,,,,ZINCnj00001A1dJX
,,CCc1ncc(S(=O)(=O)N[C@H](C)CN(C)C(=O)[C@@H](C)CC#N)s1,,,,,,ZINCnj00001A1dJQ
,,CCN1CC[C@H]1CNC(=O)CC1(CNC(=O)[C@]2(C)COC(=O)N2)CC1,,,,,,ZINCp5000015Me01
,,CCc1ncc(S(=O)(=O)N[C@H](CC)[C@@H](CC)NC(=O)[C@H](C)O)o1,,,,,,ZINCnb00001A1dJC
,,CC[C@H](C(=O)N[C@H](C)CCCNC(=O)C(C)(C)c1cc[nH]n1)C(C)C,,,,,,ZINCpx00000oyT74
,,C=C1CC(C(=O)NC[C@@H](C)CNC(=O)c2cc(F)c(C)cc2F)C1,,,,,,ZINCox0000027Kzf
,,NC1=NC(CC(=O)NC2CCN(C(=O)C3=NOC=C3)C2)=CS1,,,,,,ZINCm800000fJPob
,,CCN1CC[C@H]1CNC(=O)C#CC(C)(C)CNC(=O)[C@]1(C)CCCO1,,,,,,ZINCpf000015Me06
,,Cc1cc(NC(=O)C(=O)N(C)CC[C@@H]2CCO2)cnc1Cl,,,,,,ZINClm00000AivMl
