name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id,replicate
(S)-(+)-DIMETHINDENE,CHEMBL564226,C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,,9.4,0.4,Ki,ChEMBL,H1_ACTIVE_000,1
ZOTEPINE,CHEMBL285802,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,,9.21,0.62,Ki,ChEMBL,H1_ACTIVE_001,1
DIMETHINDENE,CHEMBL22108,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,3.0,9.16,0.6918,Ki,ChEMBL,H1_ACTIVE_002,1
DESLORATADINE,CHEMBL1172,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,4.0,9.01,0.97,Ki,ChEMBL,H1_ACTIVE_003,1
KETOTIFEN FUMARATE,CHEMBL1633,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,,9.0,1.0,IC50,ChEMBL,H1_ACTIVE_004,1
CLOZAPINE,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,,8.96,1.1,Ki,ChEMBL,H1_ACTIVE_005,1
AMITRIPTYLINE,CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,,8.95,1.12,Ki,ChEMBL,H1_ACTIVE_006,1
OLANZAPINE,CHEMBL715,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,,8.92,1.2,Ki,ChEMBL,H1_ACTIVE_007,1
PYRILAMINE,CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,4.0,8.89,1.3,Alpha;EC50;IC50;Ki,ChEMBL,H1_ACTIVE_008,1
TRIPROLIDINE,CHEMBL855,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,4.0,8.8,1.6,Activity;Ki,ChEMBL,H1_ACTIVE_009,1
MIRTAZAPINE,CHEMBL654,CN1CCN2c3ncccc3Cc3ccccc3C2C1,,8.8,1.6,Ki,ChEMBL,H1_ACTIVE_010,1
ASTEMIZOLE,CHEMBL296419,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,4.0,8.52,3.0,Ki,ChEMBL,H1_ACTIVE_011,1
RUPATADINE,CHEMBL91397,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,4.0,8.41,3.9,IC50,ChEMBL,H1_ACTIVE_012,1
